가성콜린에스테르분해효소	Pseudocholinesterase phenotype
세파클로르	Cefaclor
세파트리진	Cefatrizine
세팔로리딘	Cephaloridine
세페타메트	Cefetamet
세포니시드	Cefonicid
세포라니드	Ceforanide
세포페라존	Cefoperazone
세프디니르	Cefdinir
세프디토렌	Cefditoren
세프메녹심	Cefmenoxime
세프메타졸	Cefmetazole
세프타지딤	cefTAZidime
세프티부텐	Ceftibuten
세프티족심	Ceftizoxime
세프포독심	Cefpodoxime
세프프로질	Cefprozil
수마트립탄	SUMAtriptan
숙시닐퓨린	Succinylpurines
술파디아진	sulfADIAZINE
술파살라진	sulfaSALAzine
술파피리딘	Sulfapyridine
숲모기반점	Aedes communis
스코폴라민	Scopolamine
스태노조롤	Stanozolol
스트리크닌	Strychnine
시도포비르	Cidofovir
시롤리무스	Sirolimus
시스테인산	Cysteate
시스틴결정	Cystine crystals
시스플라틴	CISplatin
시클라실린	Cyclacillin
시클로세린	cycloSERINE
시클로헥산	Cyclohexane
시탈로프람	Citalopram
신경안정제	Tranquilizers
실라스타틴	Cilastatin
아닐레리딘	Anileridine
아목시실린	Amoxicillin
아미노다론	Amiodarone
아미노피린	Aminopyrine
아밀라아제	Amylase
아밀로이드	Amyloid
아바카비어	Abacavir
아세토페논	Acetophenone
아세트산염	Acetate
아세틸콜린	Acetylcholine
아스테미졸	Astemizole
아스파라긴	Asparagine
아시클로버	Acyclovir
아우어소체	Auer rods
아젤레이트	Azelate
아즈로실린	Azlocillin
아플라톡신	Aflatoxin
안정혈색소	Hemoglobin
안트라퀴논	Anthraquinone
알도스테론	Aldosterone
알라클로르	Alachlor
알로퓨리놀	Allopurinol
알부민수혈	Transfuse albumin
알카리아제	Alkalase
알칼로이드	Alkaloid
알파프로딘	Alphaprodine
알프라졸람	ALPRAZolam
알프레놀롤	Alprenolol
억제불화물	fluoride inhibited
억제염화물	chloride inhibited
에르고타민	Ergotamine
에르타페넴	Ertapenem
에스타졸람	Estazolam
에스트로겐	Estrogen
에스트리올	Estriol
에타놀라민	Ethanolamine
에타페드린	Etafedrine
에토헵타진	Ethoheptazine
에틸렌이민	Ethyleneimine
에틸모르핀	Ethylmorphine
에파비렌즈	Efavirenz
에피네프린	EPINEPHrine
엔카이니드	Encainide
연성하감균	Haemophilus ducreyi
열대열원충	Plasmodium falciparum
염화메틸렌	Methylene chloride
오레안드린	Oleandrin
오렌지나무	Citrus sinensis tree
오로트산염	Orotate
오리타반신	Oritavancin
오메프라졸	Omeprazole
오플록사신	Ofloxacin
옥시메톨론	Oxymetholone
옥시부티닌	Oxybutynin
올란자파인	OLANZapine
올소크레솔	Orthocresol
요소혈장종	Ureaplasma
유극적혈구	Acanthocytes
유기황산염	Sulfate
유리고시폴	Gossypol
유리디곡신	Digoxin
유리레티놀	Retinol
유리모르핀	Morphine
유리시스틴	Cystine
유리코데인	Codeine
유리코티솔	Cortisol
유리키니딘	quiNIDine
유리티록신	Thyroxine
유리혈색소	Hemoglobin
유핵적혈구	Erythrocytes
이메틸황산	Dimethyl sulfate
이미프라민	Imipramine
이산화규소	Silica
이상단핵구	Monocytes
이상림프구	Lymphocytes
이소부타놀	Isobutanol
이소푸루란	Isoflurane
이수소엽산	Dihydrofolate
이질아메바	Entamoeba histolytica
이질이질균	Shigella dysenteriae
이형적혈구	Erythrocytes
인도메타신	Indomethacin
인지질항체	Phospholipid
작은포자충	Microsporidia
전골수세포	Promyelocytes
전적혈모구	Pronormoblasts
점액단백질	Mucoprotein
정상색소성	Normochromic
조각적혈구	Schistocytes
졸미트립탄	ZOLMitriptan
주교차시험	Major crossmatch
주혈흡충종	Schistosoma
쥐티브스균	Salmonella typhimurium
즉시형과민	Reagin
지프라시돈	Ziprasidone
철결합효소	Ferrochelatase
총암페타민	Amphetamines
총지질단백	alpha
총카르니틴	free (C0)
총포르피린	Porphyrins
치료 이력	Procedure History of Procedure Treatment history
카나마이신	Kanamycin
카디오리핀	Cardiolipin
카르브로말	Carbromal
카르비도파	Carbidopa
카탈라아제	Catalase
카테콜라민	Catecholamines
카파림프구	Lymphocytes
카프로락탐	Caprolactam
칼리크레인	Kallikrein
칼시트리올	Calcitriol
칼프로텍틴	Calprotectin
케토베미돈	Ketobemidone
케토코나졸	Ketoconazole
케토프로판	Ketoprofen
코카에틸렌	Cocaethylene
콜레글로빈	Choleglobin
콜레스탄놀	Cholestanol
콜레스테롤	Cholesterol
크레아티닌	Creatinine
크리아티닌	Creatinine
크실로오스	Xylose
큰포식세포	Macrophages
클로나제팜	clonazePAM
클로로메탄	Chloromethane
클로로벤젠	Chlorobenzene
클로로에탄	Chloroethane
클로로포름	Chloroform
클로르데콘	Chlordecone
클로스테볼	Clostebol
클로파지민	Clofazimine
클로펜칙솔	Clopenthixol
클록사실린	Cloxacillin
키모트립신	Chymotrypsin
키모파파인	Chymopapain
킬레이트철	Iron
타원적혈구	Elliptocytes
타이오틱신	Thiothixene
털곰팡이종	Mucor
테노포비어	Tenofovir
테르비나핀	Terbinafine
테르페나딘	Terfenadine
테르피네올	Terpineol
테트라카인	Tetracaine
템마이즈팜	Temazepam
토카나이드	Tocainide
톡소카라종	Toxocara
톡소포자충	Toxoplasma gondii
트란스코틴	Transcortin
트랜스페린	Transferrin
트로메타민	Tromethamine
트리암테렌	Triamterene
트립시노겐	Trypsinogen
티아세타존	Thiacetazone
티오리다진	Thioridazine
티오부로민	Theobromine
티카르실린	Ticarcillin
티클로피딘	Ticlopidine
티프라나버	Tipranavir
파시올라종	Fasciola
페나세미드	Phenacemide
페네틸아민	Phenethylamine
페노디아진	Phenothiazines
페닐부타존	Phenylbutazone
페닐알라닌	Phenylalanine
페닐에프린	Phenylephrine
페르페나진	Perphenazine
펜메트라진	Phenmetrazine
펜숙시미드	Phensuximide
펜시클리딘	Phencyclidine
펜톡시필린	Pentoxifylline
펜플루라민	Fenfluramine
포도알균종	Staphylococcus
포르포빌린	Porphobilin
포스포세린	Phosphoserine
포화지방산	Fatty acids
표면활성제	Surfactant
푸로세미드	Furosemide
푸마르산염	Fumarate
프레드니손	predniSONE
프로메타진	Promethazine
프로트롬빈	Prothrombin
프로파페논	Propafenone
프로폭시펜	Propoxyphene
프리알부민	Prealbumin
프릴로카인	Prilocaine
플레록사신	Fleroxacin
플루라제팜	Flurazepam
플루옥세틴	FLUoxetine
플루코나졸	Fluconazole
피로인산염	Pyrophosphate crystals
피루브산염	Pyruvate
피리디놀린	Pyridinoline
피리메타민	Pyrimethamine
피마자기름	Ricin
피모자이드	Pimozide
하이드라진	Hydrazine
한랭용혈소	Hemolysin
할로페리돌	Haloperidol
합토글로빈	Haptoglobin
항정신병제	Antipsychotics
헵타클로르	Heptachlor
혈장글리신	Glycine plas
혈장포도당	Glucose plas
호모시스틴	Homocystine
황체호르몬	Progesterone
후골수세포	Metamyelocytes
흰머리말벌	Dolichovespula maculata
히알루론산	Hyaluronate
히오시아민	Hyoscyamine
가돌리늄	Gadolinium
가스트린	Gastrin
갈락토스	Galactose
거짓균사	pseudohyphae
거짓원주	Pseudocasts
게르마늄	Germanium
고색소성	Hyperchromia
골수세포	Myelocytes
과당아민	Fructosamine
과당효소	Fructokinase
글로불린	Globulin
글루카곤	Glucagon
글루타민	Glutamine
글리세롤	Glycerol
글리아딘	Gliadin
글리콜산	Glycolate
끓인우유	Cow milk boiled
나부메톤	Nabumetone
나프록센	Naproxen
나프탈렌	Naphthalene
날트렉손	Naltrexone
낫적혈구	Sickle cells
네비라핀	Nevirapine
네틸미신	Netilmicin
노미펜신	Nomifensine
눈물세포	Dacryocytes
뉴로텐신	Neurotensin
뉴로피신	Neurophysin
니스타틴	Nystatin
니페디핀	NIFEdipine
다염색성	Polychromasia
다클론성	polyclonal
단방조충	Echinococcus granulosus
단세포군	monoclonal
단트롤렌	Dantrolene
단핵세포	Mononuclear cells
달바반신	Dalbavancin
담즙산염	Cholate
당단백질	Glycoproteins
대적혈구	Macrocytes
데클로란	Dechlorane
도부타민	DOBUTamine
도티에핀	Dothiepin
독사프람	Doxapram
독시라민	Doxylamine
독일바퀴	Blatella germanica
돼지고기	Pork
디다노신	Didanosine
디벤제핀	Dibenzepin
디설피람	Disulfiram
디스펠린	Dysferlin
디아제팜	diazePAM
디아지논	Diazinon
디엘드린	Dieldrin
디지톡신	Digitoxin
디쿠마롤	Dicoumarol
디피파논	Dipipanone
딜티아젬	dilTIAZem
띠호중구	Neutrophils
라니티딘	raNITIdine
라미부딘	lamiVUDine
라베타롤	Labetalol
라우르산	Laurate
라이코펜	Lycopene
락토페린	Lactoferrin
레보도파	Levodopa
레티노산	Retinoate
레티쿨린	Reticulin
로라제팜	LORazepam
로라타딘	Loratadine
리놀렌산	Linoleate
리도카인	Lidocaine
리바비린	Ribavirin
리소자임	Lysozyme
리케차종	Rickettsia
리파부틴	Rifabutin
마그네슘	Magnesium
말라티온	Malathion
말레이트	Malate
메나디온	Menadione
메르살릴	Mersalyl
메스칼린	Mescaline
메클리진	Meclizine
메타콸론	Methaqualone
메티마졸	methIMAzole
메티실린	Methicillin
메티오닌	Methionine
메틸도파	Methyldopa
메틸수은	Methylmercury
메페리딘	Meperidine
메플로퀸	Mefloquine
멜라토닌	Melatonin
모사락탐	Moxalactam
몰드치즈	Cheese mold type
몰리브덴	Molybdenum
무구조충	Taenia saginata
무프로신	Mupirocin
미녹시딜	Minoxidil
미안세린	Mianserin
미코나졸	Miconazole
민무늬근	Smooth muscle
바나나속	Musa spp
바르비탈	Barbital
바이러스	Virus
바이멘틴	Vimentin
바큇살균	Actinomycetes
바클로펜	Baclofen
베라파밀	Verapamil
베로독소	Verotoxin
베타네콜	Bethanechol
벤라팍신	Venlafaxine
벤조페논	Benzophenone
병리의사	Pathologist
부탈비탈	Butalbital
부토파놀	Butorphanol
부티로신	Butirosin
뷰포테닌	Bufotenine
브레틸륨	Bretylium
브로모폼	Bromoform
브롬화물	Bromide
비경구적	parenteral
비스무트	Bismuth
빌리루빈	Bilirubin
사르코신	Sarcosine
사슬알균	Streptococcus
사이원반	Intercalated disk
살오징어	Todarodes pacificus
삼중수소	Tritium
서린다크	Sulindac
서트랄린	Sertraline
선모충종	Trichinella
설파티드	Sulfatide
섬모원주	Ciliated columnar lining cells
섬유소원	Fibrinogen
성염색질	Barr bodies
세로토닌	Serotonin
세크레틴	Secretin
세파만돌	Cefamandole
세파졸린	ceFAZolin
세파피린	Cephapirin
세팔렉신	Cephalexin
세팔로틴	Cephalothin
세페파임	Cefepime
세포골격	Cytoskeleton
세포디짐	Cefodizime
세포탁심	Cefotaxime
세포테탄	cefoTEtan
세포티암	Cefotiam
세포티어	Ceftiofur
세포학자	Cytologist
세폭시틴	cefOXitin
세푸록심	Cefuroxime
세프라딘	Cephradine
세프록심	Cefuroxime
세프피롬	Cefpirome
세픽자임	Cefixime
셀레길린	Selegiline
소결핵균	Mycobacterium bovis
소적혈구	Microcytes
수막염균	Neisseria meningitidis
숙신산염	Succinate
스타부딘	Stavudine
스테볼론	Stenbolone
스트론튬	Strontium
시겔라종	Shigella
시녹사신	Cinoxacin
시메티딘	Cimetidine
시스테인	Cysteine
시안화물	Cyanide
시알산염	Sialate
시클리진	Cyclizine
시토카인	Cytokines
시트룰린	Citrulline
실로시빈	Psilocybin
심장근육	Myocardium
쌍살벌속	Polistes spp
쓸개즙산	Bile acid
아디프산	Adipate
아르기닌	Arginine
아만타딘	Amantadine
아메바종	Entamoeba
아목사핀	Amoxapine
아미노산	Amino acids
아미카신	Amikacin
아세틸렌	Acetylene
아스팔트	Asphalt
아자타딘	Azatadine
아주까리	Ricinus communis
아즈레남	Aztreonam
아질산염	Nitrite
아테노롤	Atenolol
아트로핀	Atropine
아편제제	Opiates
안티모니	Antimony
안티피린	Antipyrine
알도라제	Aldolase
알루미늄	Aluminum
알부테롤	Albuterol
암모니아	Ammonia
암페타민	Amphetamines
암피실린	Ampicillin
야생당근	Daucus carota
야생딸기	Fragaria vesca
양식귀리	Avena sativa
에녹사신	Enoxacin
에놀라제	Enolase
에스트론	Estrone
에코나졸	Econazole
에타미반	Etamivan
에탐부톨	Ethambutol
에토돌락	Etodolac
에토토인	Ethotoin
에페드린	ePHEDrine
엔도텔린	Endothelin
엔플루란	Enflurane
엠로디핀	amLODIPine
연전현상	Rouleaux
연필모양	Pencil cells
열원충종	Plasmodium
염색저하	Hypochromia
염소산염	Chlorate
오로티딘	Orotidine
오르니틴	Ornithine
오징어종	Loligo
옥사실린	Oxacillin
옥사제팜	Oxazepam
옥살산염	Oxalate
옥시몰폰	oxyMORphone
옥시코돈	oxyCODONE
옥시토신	Oxytocin
옥타파민	Octopamine
온용혈소	Hemolysin
올레산염	Oleate
옴진드기	Sarcoptes scabiei
와르파린	Warfarin
와편모충	Dinoflagellate
우로빌린	Urobilin
우아바인	Ouabain
원포자충	Cyclospora cayetanensis
위나선균	Helicobacter pylori
유기염소	Organochloride
유리염소	Chlorine
유리위산	Gastric acid
유미미립	Chylomicrons
응혈효소	Hemopexin
이미페넴	Imipenem
이소류신	Isoleucine
이소부탄	Isobutane
이소옥탄	Isooctane
이종친화	Heterophile
이중페닐	Biphenyl
인터페론	Interferon
잘레플론	Zaleplon
잘룩창자	Colon
잘시타빈	Zalcitabine
장수말벌	Dolichovespula arenaria
장알균종	Enterococcus
적혈구계	Erythroid cells
적혈모구	Normoblasts
전단핵구	Promonocytes
전림프구	Prolymphocytes
전알부민	prealbumin
절지동물	Arthropod
정배수체	euploid+Cells
정상범위	Normal
정적혈구	Normocytic
조메피락	Zomepirac
좀진드기	Mite
중성지방	Triglyceride
중쇄항원	heavy chain
중탄산염	Bicarbonate
지도부딘	Zidovudine
지르코늄	Zirconium
지멜리딘	Zimelidine
지질단백	Lipoprotein
진균독소	Mycotoxin
질편모충	Trichomonas vaginalis
창자독소	Enterotoxin
창질경이	Plantago lanceolata
체다치즈	Cheese cheddar type
총고형물	Solids
총단백질	Protein
총알부민	glycated
총혈색소	Hemoglobin
총황산염	organic
카르노신	Carnosine
카르니틴	Carnitine
카보퓨란	Carbofuran
칸디다종	Candida
칼시디올	Calcidiol
칼시토닌	Calcitonin
칼시페롤	Calciferol
캅토프릴	Captopril
코르티손	Cortisone
코마포스	Coumaphos
코발라민	Cobalamins
콜리스틴	Colistin
쿠아제팜	Quazepam
퀘티아핀	QUEtiapine
퀴나크린	Quinacrine
퀴네타존	Quinethazone
크레아틴	Creatine
크레오솔	Creosol
크롬산염	Chromate
클로니딘	cloNIDine
클로라민	Chloramines
클로로퀸	Chloroquine
클로르단	Chlordane
클로바잠	cloBAZam
클로자핀	cloZAPine
타목시펜	Tamoxifen
타일로신	Tylosin
탄수화물	Carbohydrates
탄화수소	Hydrocarbons
탈피실린	Talampicillin
터뷰탈린	Terbutaline
턱구충종	Gnathostoma
테오필린	Theophylline
토코페롤	Tocopherols
투르펜틴	Turpentine
트라조돈	traZODone
트레오닌	Threonine
트립타민	Tryptamine
트립토판	Tryptophan
티아물린	Tiamulin
티오펜탈	Thiopental
틸미코신	Tilmicosin
파라옥손	Paraoxon
파라티온	Parathion
파록세틴	PARoxetine
파모티딘	fentaNYL
파인너트	Pinus edulis
파파베린	Papaverine
팔미트산	Palmitate
페나세틴	Phenacetin
페나조신	Phenazocine
페니라민	Pheniramine
페니실린	Penicillin
페니토인	Phenytoin
페닐젖산	Phenyllactate
페닐케톤	Phenylketones
펜타조신	Pentazocine
펩시노겐	Pepsinogen
폐흡충종	Paragonimus
포레이트	Phorate
포르피린	Porphyrins
폴레드린	Pholedrine
푸마라제	Fumarase
푸모니신	Fumonisin
풋인슐린	Proinsulin
프라제팜	Prazepam
프라조신	Prazosin
프락토롤	Practolol
프로락틴	Prolactin
프로카인	Procaine
프로타민	Protamine
프로판올	Propanol
프로페인	Propane
프로포폴	Propofol
프로폭서	Propoxur
프리미돈	Primidone
플루복사	fluvoxaMINE
플루토늄	Plutonium
피록시캄	Piroxicam
피리독살	Pyridoxal
피리독신	Pyridoxine
한랭단백	Cryoproteins
할라제팜	Halazepam
할로겐화	halogenated
항염증제	Ibuprofen
항우울제	Antidepressants
항트롬빈	Antithrombin
헤타실린	Hetacillin
현미경적	Observation
호고온성	thermophilic
호두나무	Juglans spp
호염기구	Basophils
홀배수체	aneuploid
황다랑어	Thunnus albacares
황혈색소	Sulfhemoglobin
흉막폐렴	Actinobacillus pleuropneumoniae
흰명아주	Chenopodium album
히스타민	Histamine
히스티딘	Histidine
히포잔틴	Hypoxanthine
개비듬	Dog dander
개상피	Dog epithelium
개회충	Toxocara canis
결핵균	Mycobacterium tuberculosis
고구마	Ipomoea batatas
고등어	Scomber japonicus
고분자	macromolecular
고시폴	Gossypol
고엽제	Picloram
고초균	Bacillus subtilis
골수성	Myeloid cells
곰팡이	Fungus
구연산	Citrate
구충종	Ancylostoma
규산염	Silicate
글루텐	Gluten
글리신	Glycine
글리콜	Glycol
기생충	Parasite
나트륨	Sodium
나프톨	Naphthol
날로핀	Nalorphine
날록손	Naloxone
날부핀	Nalbuphine
내독소	Endotoxin
녹농균	Pseudomonas aeruginosa
니아신	Niacin
니코틴	Nicotine
다형핵	Granulocytes
단트론	Dantron
단핵구	Monocytes
닭고기	Chicken meat
대장균	Coliform bacteria
데스민	Desmin
데이지	Chrysanthemum leucanthemum
데조신	Dezocine
도움체	Complement
도파민	DOPamine
독세핀	Doxepin
돌리콜	Dolichol
돼지풀	Ambrosia elatior
디곡신	Digoxin
디옥신	Dioxin
디캄바	Dicamba
디쿼트	Diquat
디필린	Dyphylline
라이신	Lysine
라텍스	Latex
레시틴	Lecithin
레티놀	Retinol
록사핀	Loxapine
루비듐	Rubidium
리보솜	Ribosomal
리보스	Ribose
리설핀	Resperine
리팜핀	rifAMPin
린데인	Lindane
림프구	Lymphocytes
림프종	Lymphoma cells
마뇨산	Hippurate
만니톨	Mannitol
말덴산	Mandelate
말론산	Malonate
매독균	Treponema pallidum
메타돈	Methadone
메탄올	Methanol
멜라닌	Melanin
모넨신	Monensin
모르핀	Morphine
모세포	Blasts
모틸린	Motilin
무기성	inorganic
미생물	Microorganism
미확인	Unidentified cells
바나듐	Vanadium
바이트	Bite cells
방패샘	thyroid
백혈구	Leukocytes
베릴륨	Beryllium
벤지딘	Benzidine
복합산	combined acid
볼데논	Boldenone
봄베신	Bombesin
부기저	parabasal
부설판	Busulfan
부탄올	Butanol
분선충	Strongyloides stercoralis
불화물	Fluoride
불활성	inactive
붕산염	Borate
비산염	Arsenate
비오틴	Biotin
비정형	atypical
비특이	Unspecified cells
비편평	non-squamous
비혈액	Nonhematic cells
빵효모	Saccharomyces cerevisiae
사립체	Mitochondria
사상충	Filaria
살충제	Pesticides
삼나무	Cryptomeria japonica
삼출성	secretory
삼투압	Observation
서교증	Spirillum minus
서양배	Pyrus communis
선모충	Trichinella spiralis
설박탐	Sulbactam
설사약	Laxatives
설사제	Cathartic laxatives
설파제	Sulfonamide
세시움	Cesium
세자리	Sezary cells
세포질	plasma
세포형	Cell type
셀라노	Cellano
셀러리	Apium graveolens
셀레늄	Selenium
소고기	Beef
수면제	Hypnotics
술티암	Sulthiame
스머지	Smudge cells
스칸듐	Scandium
스티렌	Styrene
시금치	Spinacia oleracea
시마진	Simazine
시스틴	Cystine
실로신	Psilocin
실리콘	Silicone
실모양	filamentous
실바딘	Silver sulfADIAZINE
실제값	actual
쓸개즙	Bile
아교질	Collagen
아닐린	Aniline
아데닌	Adenine
아메바	Amoeba
아세톤	Acetone
안세린	Anserine
알라닌	Alanine
알부민	Albumin
알페닐	Alfentanil
암모늄	Ammonium
암배아	Carcinoembryonic
에메틴	Emetine
에비엘	1;q11)(ABL1,BCR) fusion transcript
에탄올	Ethanol
에티온	Ethion
에틸렌	Ethylene
엔도탈	Endothall
엔드린	Endrin
열원충	Plasmodium
염색질	Chromatin
염소젖	Goat milk
염소화	chlorinated
염화물	Chloride
오스뮴	Osmium
옥사밀	Oxamyl
올드린	Aldrin
왜문어	Octopus vulgaris
요산염	Urate
요세관	Tubular cells
요오드	Iodine
요힘빈	Yohimbine
우라늄	Uranium
우라실	Uracil
운동성	motile
울혈됨	pooled
유기산	Organic acids
유럽굴	Ostrea edulis
유리산	free acid
이뇨제	Diuretics
이눌린	Inulin
이자섬	Pancreatic islet cell
인공물	Artifact
인디칸	Indicans
인산염	Phosphate
인슐린	Insulin
인지질	Phospholipid
인화물	Phosphide
인히빈	Inhibin
자극제	Stimulants
적혈구	Erythrocytes
전해질	Electrolytes
점액소	Mucin
정어리	Sardinops melanostictus
제초제	Herbicide
조직구	Histiocytes
졸피뎀	Zolpidem
죽순대	Phyllostachys pubescens
중금속	Heavy metals
지방산	Fatty acids
지방족	aliphatic
직업력	Occupation History of Occupation
진드기	Dermatophagoides sp House dust mite IgE Ab
진통제	Analgesics
질산염	Nitrate
참다래	Actinidia chinensis
촌충종	Taenia
총단백	Protein
총산도	total acid
총혈청	Serum
치료력	Procedure History of Procedure Treatment history
카드뮴	Cadmium
카로틴	Carotene
카바릴	Carbaryl
카세인	Casein
카카오	Theobroma cacao
카테콜	Catechol
카페인	Caffeine
케라틴	Keratin
케타민	Ketamine
켈그룹	Kell
코데인	Codeine
코발트	Cobalt
코카인	Cocaine
코코넛	Cocos nucifera
코티닌	Cotinine
코티손	Cortisone
코티솔	Cortisol
콜치친	Colchicine
콤파진	Prochlorperazine
콩팥외	extrarenal
퀴놀린	Quinoline
크레솔	Cresols
크산틴	Xanthine
키니딘	quiNIDine
타우린	Taurine
타크린	Tacrine
탄산염	Carbonate
탄저균	Bacillus anthracis
털모양	Hairy cells
텅스텐	Tungsten
테바인	Thebaine
텔루륨	Tellurium
토마토	Lycopersicon lycopersicum
톡사펜	Toxaphene
톨루엔	Toluene
톨메틴	Tolmetin
통계란	Egg whole
투명도	Clarity
트립신	Trypsin
티라민	Tyramine
티로신	Tyrosine
티록신	Thyroxine
티몰롤	Timolol
티아민	Thiamine
티타늄	Titanium
파라캇	Paraquat
퍼포린	Perforin
페넬진	Phenelzine
페리틴	Ferritin
페몰린	Pemoline
펜터민	Phentermine
펜토스	Pentoses
포도당	Glucose
포름산	Formate
포스겐	Phosgene
포스핀	Phosphine
포충종	Echinococcus
풋레닌	Prorenin
프라임	prime
프롤린	Proline
피리딘	Pyridine
핀돌올	Pindolol
할로탄	Halothane
항경련	Anticonvulsants
핵농축	Pyknosis
핵소체	nucleolar
핵주위	perinuclear
향기풀	Anthoxanthum odoratum
헤파린	Heparin
헵테인	Heptane
혈색소	Hemoglobin
혈액량	Blood volume
혈장량	Plasma volume
혈철소	Hemosiderin
혈흡충	Schistosoma
호밀풀	Lolium perenne
호산구	Eosinophils
호중구	Neutrophils
환각제	Hallucinogens
황산염	Sulfate
회충종	Ascaris
효모양	yeastlike
휘발성	volatile
흑효모	Aureobasidium pullulans
흡광도	Optical density
히스톤	Histone
간질	Fasciola hepatica
갈륨	Gallium
견치	canine
결합	bound
경구	oral
고전	classic
과당	Fructose
구리	Copper
균사	hyphae
기능	functional
난소	Ovary
니켈	Nickel
단핵	Mononuclear cells
독성	toxic
독소	pertussis toxin
리튬	Lithium
마약	Narcotics
망간	Manganese
매듭	Centromere
미상	Crystals
바륨	Barium
반점	speckled
발린	Valine
백금	Platinum
버섯	Mushroom
베타	beta
부신	Adrenal
붕소	Boron
비소	Arsenic
비중	Observation
산소	Oxygen
상피	Epithelial cells
석면	Asbestos
설탕	Sucrose
세균	Bacteria
신경	Neuronal
아연	Zinc
악성	Malignant cells
액틴	Actin
약물	Drugs
예측	predicted
요소	Urea
요충	Enterobius vermicularis
위산	Gastric acid
유극	Burr cells
윤충	Helminth
이상	abnormal
이행	Transitional cells
인듐	Indium
임균	Neisseria gonorrhoeae
점액	Mucus
정자	Spermatozoa
젖당	Lactose
제거	depleted
조각	Fragments
주석	Tin
중피	Mesothelial cells
직업	Occupation History of Occupation
칼륨	Potassium
칼슘	Calcium
캠퍼	Camphor
콩팥	renal
쿠멘	Cumene
크롬	Chromium
클루	Clue cells
키닌	quiNINE
탈륨	Thallium
토륨	Thorium
판독	Interpretation
펩신	Pepsins
평편	Epithelial cells
표피	Epidermis
핵형	Karyotype
형질	Plasma cells
황화	Sulfide
회충	Ascaris lumbricoides
