가성콜린에스테르분해효소	Pseudocholinesterase phenotype
시알로올리고당류	Sialooligosaccharides
아데노바이러스종	Adenovirus
아디포일카르니틴	Adipoylcarnitine (C6-DC)
아르기닌분해효소	Arginase
아미노벤조에이트	Aminobenzoate
아미노살리실산염	Aminosalicylate
아세트알데하이드	Acetaldehyde
아스트로바이러스	Astrovirus
아스페르길루스종	Aspergillus
아이코사노이드산	Arachidate
아크릴로나이트릴	Acrylonitrile
아크릴알데하이드	Acrylaldehyde
악티노바실루스종	Actinobacillus
안드로스타네디올	Androstanediol
안드로스테네디온	Androstenedione
안드로스테네디올	Androstenediol
알부민결합티록신	Thyroxine
에스테르화지방산	Fatty acids
에이코사펜타엔산	Eicosapentaenoate
에피안드로스테론	Epiandrosterone
에피테스토스테론	Epitestosterone
올리고사카라이드	Oligosaccharides
올소폭스바이러스	Orthopoxvirus
유럽집먼지진드기	Dermatophagoides pteronyssinus
유리벨프로에이트	Valproate
유리삼요드티로닌	Triiodothyronine
유리에스트라디올	Estradiol
유리카르바마제핀	carBAMazepine
유리테스토스테론	Testosterone
유리페노바르비탈	PHENobarbital
유리하이드로코돈	HYDROcodone
이소발레릴글리신	Isovalerylglycine
정염색성적혈모구	Normoblasts
진성삼요드티로닌	Triiodothyronine
총안드로스타놀론	free
총코프로포르피린	Coproporphyrin
캐노디옥시콜산염	Chenodeoxycholate
콕시디오이데스종	Coccidioides
콜리스티메테이트	Colistimethate
콜린에스테라아제	Cholinesterase
크루스파동편모충	Trypanosoma cruzi
큰다리먼지진드기	Dermatophagoides farinae
클라리스로마이신	Clarithromycin
클로로벤질레이트	Chlorobenzilate
클로로아세테이트	Chloroacetate
클로르프로파미드	chlorproPAMIDE
테트라클로로에탄	Tetrachloroethane
트롤레안도마이신	Troleandomycin
트리플루오페라진	Trifluoperazine
페닐프로파놀아민	Phenylpropanolamine
포스포에탄올아민	Phosphoethanolamine
프레그난트리올론	Pregnanetriolone
프로피오닐글리신	Propionylglycine
프로필알데하이드	Propionaldehyde
프로필티오유라실	Propylthiouracil
프리베타지질단백	Lipoprotein
플루옥시메스테론	Fluoxymesterone
피부리슈만편모충	Leishmania tropica
피코르나바이러스	Picornavirus
피하리슈만편모충	Leishmania braziliensis
하이드록시라이신	Hydroxylysine
하이드록시프롤린	Hydroxyproline
헥사노일카르니틴	Hexanoylcarnitine (C6)
형질세포양림프구	Lymphocytes
갈락토키나아제	Galactokinase
갑상샘글로불린	Thyroglobulin
결합에스트리올	Estriol
경구혈당강하제	Hypoglycemics
고분자글로불린	Macroglobulin
긴털가루진드기	Tyrophagus putrescentiae
난포자극호르몬	Follitropin
노르메타네프린	Normetanephrine
노르에탄드롤론	Norethandrolone
노르에피네프린	Norepinephrine
노르트리프틸린	Nortriptyline
뇌척수액글리신	Glycine CSF
뇌척수액포도당	Glucose CSF
니트로글리세린	Nitroglycerin
니트로소나프톨	Nitrosonaphthol
니트로푸란토인	Nitrofurantoin
니트로푸루시드	Nitroprusside
단백결합포도당	Glucose
데메클로시클린	Demeclocycline
데옥시콜레이트	Deoxycholate
데카디카르니틴	Decadienediate
디리스로마이신	Dirithromycin
디메틸트립타민	Dimethyltryptamine
디에틸프로피온	Diethylpropion
디이소부틸케톤	Diisobutylketone
디클로로벤지딘	Dichlorobenzidine
디펜옥시레이트	Diphenoxylate
디펜하이드라민	diphenhydrAMINE
레보메프로마진	Methotrimeprazine
레트로바이러스	Retrovirus
레플루노마이드	Leflunomide
록시스로마이신	Roxithromycin
리슈만편모충종	Leishmania
리스테리아균종	Listeria
마이코박테륨종	Mycobacterium
마이코플라스마	Mycoplasma hominis
마크로프로락틴	Macroprolactin
메타알데하이드	Metaldehyde
메토트렉세이트	Methotrexate
메트석시마이드	Methsuximide
메트헤모글로빈	Methemoglobin
메틸말로네이트	Methylmalonate
메틸숙시네이트	Methylsuccinate
메틸페니데이트	Methylphenidate
메프로바메이트	Meprobamate
바닐만델레이트	Vanillylmandelate
바르비튜레이트	Barbiturates
바베스열원충종	Babesia
버지니아마이신	Virginiamycin
벤조일에크고닌	Benzoylecgonine
벤조일카르니틴	Benzoylcarnitine (BzCn)
벤즈알데하이드	Benzaldehyde
복숭아탄저병균	Alternaria alternata
부갑상샘호르몬	Parathyrin
부티릴카르니틴	Butyrylcarnitine (C4)
비결합에스트론	Estrone
비피도박테륨종	Bifidobacterium
산화글루타티온	Glutathione
살리실아마이드	Salicylamide
성숙그물적혈구	Reticulocytes
세룰로프라스민	Ceruloplasmin
세팔로글라이신	Cephaloglycin
소오스테오칼신	Osteocalcin
숙시닐아데노신	Succinyladenosine
스트렙토마이신	Streptomycin
스트렙토키나제	Streptokinase
스펙티노마이신	Spectinomycin
스핑고마이엘린	Sphingomyelin
시아노박테리아	Cyanobacterium
시아노코발라민	Cyanocobalamin
시안메트혈색소	Cyanmethemoglobin
시클로벤자프린	Cyclobenzaprine
시클로스포라종	Cyclospora
아교질분해효소	Collagenase
아나플라즈마종	Anaplasma
아데노바이러스	Adenovirus
아레나바이러스	Arenavirus
아르보바이러스	Arbovirus
아릴술파타아제	Arylsulfatase
아릴아미다아제	Arylamidase
아세타졸라미드	acetaZOLAMIDE
아세토나이트릴	Acetonitrile
아세토아세트산	Acetoacetate
아세트아마이드	Acetamide
아세트아미노펜	Acetaminophen
아세틸살리실산	Acetylsalicylate
아스코르빈산염	Ascorbate
아스파르트산염	Aspartate
아지트로마이신	Azithromycin
아쿠아코발라민	Aquacobalamin
아크릴아마이드	Acrylamide
아프로바르비탈	Aprobarbital
안드로스타놀론	Androstanolone
안지오텐시노겐	Angiotensinogen
에리트로마이신	Erythromycin
에스시탈로프람	Escitalopram
에시테토박터종	Acinetobacter
에어로모나스종	Aeromonas
에타크리네이트	Ethacrynate
에트클로르비놀	Ethchlorvynol
에티오콜라놀론	Etiocholanolone
에틸말로네이트	Ethylmalonate
에틸에스트레놀	Ethylestrenol
에페리트로준종	Eperythrozoon
역삼요드티로닌	Triiodothyronine
열불안정혈색소	Hemoglobin
오메가인터페론	Interferon
올리앤도마이신	Oleandomycin
유리메타네프린	Metanephrine
유리반코마이신	Vancomycin
유리알도스테론	Aldosterone
유리카테콜라민	Catecholamines
유리호모시스틴	Homocystine
유리황체호르몬	Progesterone
유행성귀밑샘염	Mumps virus
응집그물적혈구	Reticulocytes
이브롬화에틸렌	Ethylene dibromide
이소부틸글리신	Isobutyrylglycine
장염비브리오균	Vibrio parahaemolyticus
저과립승호중구	Neutrophils
저분자량헤파린	Heparin
적혈구마그네슘	plasma
적혈구생성인자	Erythropoietin
점상그물적혈구	Reticulocytes
중기그물적혈구	Reticulocytes
총카르바마제핀	free
총헥소키나아제	Hexokinase
카프레오마이신	Capreomycin
칼리시바이러스	Calicivirus
