chapter	code	kind	preferred	inclusions	exclusions	depth	id
U	US50	clinicalFinding	Abnormal urine test	asymptomatic bacteriuria;pus in urine;pyuria	haematuria/blood in urine US06	0	689
U	US90	complaint	Concern or fear of disease of urinary system			0	690
U	US99	symptom	Other specified symptom, complaint and abnormal finding of urinary system		irritable bladder/bladder pain US08;kidney symptom/complaint US09	0	691
U	US50.00	clinicalFinding	Orthostatic albuminuria			1	1408
U	US50.01	clinicalFinding	Glycosuria			1	1409
U	US50.02	clinicalFinding	Proteinuria			1	1410
U	US09.00	symptom	Renal colic			1	1407
U	US05.00	symptom	Anuria/oliguria			1	1406
U	US03.00	symptom	Genuine stress incontinence			1	1403
U	US03.01	symptom	Mixed incontinence			1	1404
U	US03.02	symptom	Urge incontinence			1	1405
W	WS01	symptom	Suspicion of pregnancy	delayed menstruation;symptoms suggestive of pregnancy	fear of pregnancy WS90;pregnancy confirmed WD67;unwanted pregnancy WD68	0	707
W	WS02	symptom	Pregnancy vomiting and nausea	morning sickness in confirmed pregnancy		0	708
W	WS03	symptom	Bleeding first 20 weeks of pregnancy		antepartum haemorrhage WS04	0	709
W	WS04	symptom	Antepartum haemorrhage	bleeding second/third trimester <Reference>WS04.00</Reference>		0	710
W	WS05	symptom	Post-partum bleeding			0	711
W	WS06	symptom	Breast or lactation symptom or complaint	weaning	cracked nipples WD84;puerperal mastitis WD03	0	712
W	WS39	symptom	Other specified post-partum symptom or complaint		lactation complaints WS06;complications of puerperium WD85;puerperal depression PD12;post-partum bleeding WS05	0	713
W	WS50	clinicalFinding	Abnormal findings on antenatal screening of mother			0	714
W	WS90	complaint	Concern or fear of being pregnant	concern about possibility of unwanted pregnancy	concern/fear if unwanted pregnancy confirmed WD68	0	715
W	WS91	complaint	Fear about complications of pregnancy	fear of congenital anomaly in baby		0	716
W	WS99	symptom	Other specified symptoms, complaints and abnormal findings during  pregnancy, delivery and puerperium			0	717
W	WS99.00	symptom	Feeling fewer movements of foetus			1	1426
W	WS99.01	symptom	Pelvic instability	subluxation of symphysis (pubis) in childbirth;subluxation of symphysis (pubis) in pregnancy;subluxation of symphysis (pubis) in puerperium		1	1427
W	WS99.02	symptom	Concern about appearance during pregnancy			1	1428
W	WS39.00	symptom	Abnormal lochia			1	1425
W	WS06.00	symptom	Lactation problem	breast feeding painful;galactorrhoea associated with childbirth;suppressed lactation;suppression of lactation		1	1424
W	WS04.00	symptom	Bleeding second/third trimester			1	1423
W	WS03.00	symptom	Bleeding first trimester			1	1422
W	WS02.00	symptom	Hyperemesis gravidarum			1	1421
