chapter	code	kind	preferred	inclusions	exclusions	depth	id
G	GS22	symptom	Prostate symptoms or complaints	prostatism	urinary frequency and/or urgency US02;urinary retention US04	0	308
G	GS23	symptom	Painful intercourse	female dyspareunia;vaginismus	psychogenic sexual problems (sexual desire reduced) PS07;psychogenic sexual problems (sexual fulfilment reduced) PS07	0	309
G	GS24	symptom	Impotence or erectile dysfunction	impotence of organic origin;erectile dysfunction	psychogenic impotence or reduced sexual fulfilment PS07;reduced sexual desire PS07	0	310
G	GS25	symptom	Other specified sexual function symptoms or complaints	painful ejaculation		0	311
G	GS26	symptom	Lump or mass in breast	lumpy breasts		0	312
G	GS27	symptom	Nipple symptoms or complaints	nipple cracked;nipple fissure;nipple inversion;nipple pain;nipple pruritus;nipple retraction	nipple symptom or complaint in pregnancy or lactation WS06	0	313
G	GS28	symptom	Other specified breast symptoms or complaints	galactorrhoea;mastopathy	mastitis (lactating) WD03	0	314
G	GS29	symptom	Infertility or subfertility	primary infertility;secondary sterility		0	315
G	GS50	clinicalFinding	Abnormal cervix smear	cervical dysplasia;cervical intraepithelial neoplasia (CIN) grade 1;cervical intraepithelial neoplasia (CIN) grade 2	cervical intraepithelial neoplasia (CIN) grade 3 GD32	0	316
G	GS90	complaint	Concern about breast appearance	concern about shape of breast;concern about size of breast;dissatisfied with breast appearance		0	317
G	GS91	complaint	Concern or fear of sexual dysfunction		Sexual disfunction PS07	0	318
G	GS92	complaint	Concern or fear of sexually transmitted infection		fear of HIV/AIDS BS90	0	319
G	GS93	complaint	Concern or fear of breast cancer			0	320
G	GS94	complaint	Other specified concern or fear of disease of genital system	fear of prostate cancer <Reference>GS94.00</Reference>	concern/fear of breast cancer female GS93;concern/fear of sexual transmitted infection GS92	0	321
G	GS99	symptom	Other specified symptoms, complaints and abnormal findings of genital system	haematospermia	urethral discharge US10	0	322
G	GS94.00	complaint	Fear of prostate cancer			1	1053
G	GS28.00	symptom	Gynaecomastia			1	1052
G	GS27.00	symptom	Nipple discharge	nipple bleeding		1	1051
G	GS21.00	symptom	Swelling of testis	swelling of scrotum		1	1050
G	GS13.00	symptom	Atrophic vaginitis	senile vaginitis		1	1048
G	GS13.01	symptom	Menopausal flushing			1	1049
G	GS10.00	symptom	Ovulation bleeding			1	1047
G	GS09.00	symptom	Irregular periods			1	1045
G	GS09.01	symptom	Polymenorrhea			1	1046
G	GS07.00	symptom	Amenorrhea	amenorrhoea primary or secondary		1	1043
G	GS07.02	symptom	Oligomenorrhea			1	1044
H	HS01	symptom	Ear pain or ache	otalgia		0	356
H	HS02	symptom	Hearing complaint	diplacusis;feeling of hearing loss;hyperacusis;hypoacusis	deafness one ear HD69;deafness both ears HD69;tinnitus HS03	0	357
